Episode,Agent,TotalReward,Status,Epsilon
3,38,-79.80,TimedOut,0.9851
3,39,-98.20,TimedOut,0.9851
3,40,-100.40,TimedOut,0.9851
3,41,-355.00,TimedOut,0.9851
3,42,-79.30,TimedOut,0.9851
3,43,-109.40,TimedOut,0.9851
3,44,-79.10,TimedOut,0.9851
3,45,-79.40,TimedOut,0.9851
3,46,-110.10,TimedOut,0.9851
3,47,-306.40,TimedOut,0.9851
3,48,-315.60,TimedOut,0.9851
3,49,-177.70,TimedOut,0.9851
4,0,-89.20,TimedOut,0.9801
4,1,256.90,ReachedGoal,0.9801
4,2,-127.70,TimedOut,0.9801
4,3,-129.10,TimedOut,0.9801
4,4,-88.90,TimedOut,0.9801
4,5,-108.70,TimedOut,0.9801
4,6,-70.10,TimedOut,0.9801
4,7,-88.00,TimedOut,0.9801
4,8,-316.50,TimedOut,0.9801
4,9,-120.10,TimedOut,0.9801
4,10,-108.60,TimedOut,0.9801
4,11,-157.70,TimedOut,0.9801
4,12,-218.90,TimedOut,0.9801
4,13,-79.60,TimedOut,0.9801
4,14,-157.80,TimedOut,0.9801
4,15,-80.20,TimedOut,0.9801
4,16,-277.40,TimedOut,0.9801
4,17,-99.30,TimedOut,0.9801
4,18,-159.30,TimedOut,0.9801
4,19,-69.30,TimedOut,0.9801
4,20,-108.90,TimedOut,0.9801
4,21,-187.90,TimedOut,0.9801
4,22,-69.80,TimedOut,0.9801
4,23,-81.70,TimedOut,0.9801
4,24,-217.40,TimedOut,0.9801
4,25,-238.10,TimedOut,0.9801
4,26,-68.60,TimedOut,0.9801
4,27,-178.40,TimedOut,0.9801
4,28,-236.80,TimedOut,0.9801
4,29,-118.80,TimedOut,0.9801
4,30,-139.10,TimedOut,0.9801
4,31,-148.60,TimedOut,0.9801
4,32,-385.40,TimedOut,0.9801
4,33,-80.70,TimedOut,0.9801
4,34,-325.80,TimedOut,0.9801
4,35,-90.10,TimedOut,0.9801
4,36,-148.50,TimedOut,0.9801
4,37,-100.20,TimedOut,0.9801
4,38,-158.10,TimedOut,0.9801
4,39,-119.50,TimedOut,0.9801
4,40,-200.20,TimedOut,0.9801
4,41,-109.50,TimedOut,0.9801
4,42,-149.30,TimedOut,0.9801
4,43,-118.60,TimedOut,0.9801
4,44,-177.50,TimedOut,0.9801
4,45,-101.30,TimedOut,0.9801
4,46,-108.10,TimedOut,0.9801
4,47,-117.90,TimedOut,0.9801
4,48,-147.30,TimedOut,0.9801
4,49,-100.40,TimedOut,0.9801
5,0,-157.80,TimedOut,0.9752
5,1,-80.10,TimedOut,0.9752
5,2,-128.80,TimedOut,0.9752
5,3,-256.40,TimedOut,0.9752
5,4,-68.70,TimedOut,0.9752
5,5,-79.30,TimedOut,0.9752
5,6,-128.80,TimedOut,0.9752
5,7,-149.60,TimedOut,0.9752
5,8,-297.40,TimedOut,0.9752
5,9,-109.20,TimedOut,0.9752
5,10,-100.50,TimedOut,0.9752
5,11,-79.30,TimedOut,0.9752
5,12,-79.10,TimedOut,0.9752
5,13,-130.60,TimedOut,0.9752
5,14,-89.70,TimedOut,0.9752
5,15,-89.60,TimedOut,0.9752
5,16,-68.80,TimedOut,0.9752
5,17,-189.10,TimedOut,0.9752
5,18,-110.80,TimedOut,0.9752
5,19,-198.40,TimedOut,0.9752
5,20,-197.50,TimedOut,0.9752
5,21,-170.00,TimedOut,0.9752
5,22,-79.80,TimedOut,0.9752
5,23,-140.70,TimedOut,0.9752
5,24,-247.20,TimedOut,0.9752
5,25,-79.80,TimedOut,0.9752
5,26,-168.20,TimedOut,0.9752
5,27,-118.70,TimedOut,0.9752
5,28,-307.30,TimedOut,0.9752
5,29,-80.50,TimedOut,0.9752
5,30,-119.60,TimedOut,0.9752
5,31,-69.50,TimedOut,0.9752
5,32,-88.60,TimedOut,0.9752
5,33,45.90,ReachedGoal,0.9752
5,34,-235.90,TimedOut,0.9752
5,35,-119.90,TimedOut,0.9752
5,36,-138.90,TimedOut,0.9752
5,37,-59.50,TimedOut,0.9752
5,38,-89.10,TimedOut,0.9752
5,39,-91.30,TimedOut,0.9752
5,40,-78.50,TimedOut,0.9752
5,41,-89.30,TimedOut,0.9752
5,42,-69.50,TimedOut,0.9752
5,43,-99.80,TimedOut,0.9752
5,44,-99.20,TimedOut,0.9752
5,45,-149.40,TimedOut,0.9752
5,46,-217.20,TimedOut,0.9752
5,47,-59.40,TimedOut,0.9752
5,48,-324.80,TimedOut,0.9752
5,49,-60.80,TimedOut,0.9752
6,0,-80.30,TimedOut,0.9704
6,1,-187.50,TimedOut,0.9704
6,2,-130.30,TimedOut,0.9704
6,3,-384.30,TimedOut,0.9704
6,4,-99.70,TimedOut,0.9704
6,5,-119.10,TimedOut,0.9704
6,6,-80.80,TimedOut,0.9704
6,7,-100.00,TimedOut,0.9704
6,8,-227.10,TimedOut,0.9704
6,9,-79.20,TimedOut,0.9704
6,10,-168.00,TimedOut,0.9704
6,11,-198.00,TimedOut,0.9704
6,12,-110.10,TimedOut,0.9704
6,13,-69.00,TimedOut,0.9704
6,14,-208.40,TimedOut,0.9704
6,15,-88.00,TimedOut,0.9704
6,16,-167.30,TimedOut,0.9704
6,17,-88.80,TimedOut,0.9704
6,18,-71.80,TimedOut,0.9704
6,19,-89.70,TimedOut,0.9704
6,20,-69.70,TimedOut,0.9704
6,21,-120.30,TimedOut,0.9704
6,22,-188.80,TimedOut,0.9704
6,23,-88.30,TimedOut,0.9704
6,24,-107.10,TimedOut,0.9704
6,25,-187.50,TimedOut,0.9704
6,26,-317.40,TimedOut,0.9704
6,27,-139.70,TimedOut,0.9704
6,28,-188.30,TimedOut,0.9704
6,29,254.50,ReachedGoal,0.9704
6,30,-108.80,TimedOut,0.9704
6,31,-79.70,TimedOut,0.9704
6,32,-110.30,TimedOut,0.9704
6,33,-79.70,TimedOut,0.9704
6,34,-119.30,TimedOut,0.9704
6,35,-493.30,TimedOut,0.9704
6,36,-91.00,TimedOut,0.9704
6,37,-89.30,TimedOut,0.9704
6,38,-178.70,TimedOut,0.9704
6,39,-69.80,TimedOut,0.9704
6,40,-395.10,TimedOut,0.9704
